foods,calories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¶Â­J´ÔÄÑ,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ä¨Û£ÄÑ,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ä¨Û£ÄÑ¥[³J,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¶Â­J´ÔÄÑ¥[³J,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Âæ¿N¨F¯ùÄÑ¥[³J,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
®c«OÂû¤BÄÑ¥[³J,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤TªMÂû¤BÄÑ¥[³J,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
³ÂªoÂûÄÑ¥[³J,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áç¿N·NÄÑ,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
îÊÂæÄÑ,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
À_¶»ÄÑ,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
º^µæ¦×µ·ÄÑ,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Âûµ·ÄÑ,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
½Þ¦×Áç¿NÄÑ,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
½¼¤¯ª£ÄÑ,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦Ï¦×ÄÑ,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­»Û£ÂûÄÑ,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¶Ç²Î²DÄÑ,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥|ª«Âû´öÄÑ,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤e¿NÄÑ,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤û¦×ÄÑ,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤j¸z³H¥JÄÑ½u,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
µ·¥Ê°FÄÑ,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¯ó²ù¨Å¹T»æ,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥©§J¤O¨Å¹T»æ,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥¤ªo¨Å¹T»æ,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥¤¶p¨Å¹T»æ,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ªá¥Í¨Å¹T»æ,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°_¥q°ª¶t¨Å¹T»æ,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤õ»L°ª¶t¨Å¹T»æ,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°ö®Ú°ª¶t¨Å¹T»æ,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
º¡ºÖ°ª¶t¨Å¹T»æ,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¼öª¯°ª¶t¨Å¹T»æ,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­ì¨ý§ì»æ,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
½µ³J§ì»æ,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°_¥q³J§ì»æ,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°ö®Ú³J§ì»æ,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤õ»L³J§ì»æ,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
½­µæ³J§ì»æ,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
º¡ºÖ³J§ì»æ,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨½¦Ù³J§ì»æ,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂC³½ÃP»æ,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂA¥¤ªoÃP»æ,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¸Á»eÃP»æ,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ªá¥ÍÃP»æ,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¯ó²ùÃP»æ,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦B²N²OÃP»æ,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥©§J¤OÃP»æ,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
®üÂA©ÜÂÄ,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Á`¶×©ÜÂÄ,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
®L«Â¦i©ÜÂÄ,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¯À­¹©ÜÂÄ,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂtÂû©ÜÂÄ,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤p¼öª¯ /5¤ä,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
·Î»å /8²É,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
